2023-04-21 11:56:21,164 INFO    MainThread:13954 [wandb_setup.py:_flush():76] Configure stats pid to 13954
2023-04-21 11:56:21,165 INFO    MainThread:13954 [wandb_setup.py:_flush():76] Loading settings from /home1/07169/wgl/.config/wandb/settings
2023-04-21 11:56:21,165 INFO    MainThread:13954 [wandb_setup.py:_flush():76] Loading settings from /scratch1/07169/wgl/adjoint/python/wandb/settings
2023-04-21 11:56:21,165 INFO    MainThread:13954 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-21 11:56:21,165 INFO    MainThread:13954 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-21 11:56:21,165 INFO    MainThread:13954 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'python/Main_FD_with_net.py', 'program': '/scratch1/07169/wgl/adjoint/python/Main_FD_with_net.py'}
2023-04-21 11:56:21,165 INFO    MainThread:13954 [wandb_init.py:_log_setup():507] Logging user logs to /scratch1/07169/wgl/adjoint/python/wandb/run-20230421_115621-sdkqm1ol/logs/debug.log
2023-04-21 11:56:21,165 INFO    MainThread:13954 [wandb_init.py:_log_setup():508] Logging internal logs to /scratch1/07169/wgl/adjoint/python/wandb/run-20230421_115621-sdkqm1ol/logs/debug-internal.log
2023-04-21 11:56:21,166 INFO    MainThread:13954 [wandb_init.py:init():547] calling init triggers
2023-04-21 11:56:21,166 INFO    MainThread:13954 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-04-21 11:56:21,166 INFO    MainThread:13954 [wandb_init.py:init():595] starting backend
2023-04-21 11:56:21,166 INFO    MainThread:13954 [wandb_init.py:init():599] setting up manager
2023-04-21 11:56:21,174 INFO    MainThread:13954 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-21 11:56:21,183 INFO    MainThread:13954 [wandb_init.py:init():605] backend started and connected
2023-04-21 11:56:21,192 INFO    MainThread:13954 [wandb_init.py:init():695] updated telemetry
2023-04-21 11:56:21,250 INFO    MainThread:13954 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-21 11:56:21,494 INFO    MainThread:13954 [wandb_run.py:_on_init():2176] communicating current version
2023-04-21 11:56:21,579 INFO    MainThread:13954 [wandb_run.py:_on_init():2185] got version response 
2023-04-21 11:56:21,579 INFO    MainThread:13954 [wandb_init.py:init():782] starting run threads in backend
2023-04-21 11:56:21,667 INFO    MainThread:13954 [wandb_run.py:_console_start():2157] atexit reg
2023-04-21 11:56:21,668 INFO    MainThread:13954 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-21 11:56:21,668 INFO    MainThread:13954 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-21 11:56:21,668 INFO    MainThread:13954 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-21 11:56:21,669 INFO    MainThread:13954 [wandb_init.py:init():824] run started, returning control to user process
2023-04-21 11:56:21,669 INFO    MainThread:13954 [wandb_config.py:__setitem__():152] config set problem = ResNet - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b736ca35520>>
2023-04-21 11:56:21,670 INFO    MainThread:13954 [wandb_run.py:_config_callback():1285] config_cb problem ResNet None
2023-04-21 11:56:21,670 INFO    MainThread:13954 [wandb_config.py:__setitem__():152] config set method = Recurrent - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b736ca35520>>
2023-04-21 11:56:21,670 INFO    MainThread:13954 [wandb_run.py:_config_callback():1285] config_cb method Recurrent None
2023-04-21 11:56:21,670 INFO    MainThread:13954 [wandb_config.py:__setitem__():152] config set batchsize = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x2b736ca35520>>
2023-04-21 11:56:21,671 INFO    MainThread:13954 [wandb_run.py:_config_callback():1285] config_cb batchsize 10 None
2023-04-21 11:56:41,464 WARNING MsgRouterThr:13954 [router.py:message_loop():77] message_loop has been closed
